<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,20211109,000000,7200.0000000,7255.0000000,7117.5000000,7188.0000000,791353
LKOH,D,20211110,000000,7209.5000000,7266.0000000,7120.0000000,7137.5000000,655388
LKOH,D,20211111,000000,7158.0000000,7171.0000000,6969.0000000,7094.5000000,1090684
LKOH,D,20211112,000000,7061.5000000,7067.0000000,6835.0000000,6878.0000000,1938588
LKOH,D,20211115,000000,6852.0000000,6979.5000000,6815.0000000,6918.5000000,909015
LKOH,D,20211116,000000,6958.0000000,7006.0000000,6905.0000000,6946.5000000,845349
LKOH,D,20211117,000000,6942.0000000,6950.0000000,6840.0000000,6884.5000000,1144794
LKOH,D,20211118,000000,6832.0000000,6887.0000000,6783.5000000,6840.0000000,814044
LKOH,D,20211119,000000,6897.0000000,6902.5000000,6660.0000000,6709.0000000,1372684
LKOH,D,20211122,000000,6690.0000000,6756.5000000,6532.0000000,6575.5000000,1753388
LKOH,D,20211123,000000,6550.5000000,6837.0000000,6490.0000000,6829.5000000,1589774
LKOH,D,20211124,000000,6851.0000000,6891.0000000,6686.5000000,6814.5000000,1372160
LKOH,D,20211125,000000,6828.0000000,6890.5000000,6655.0000000,6661.5000000,1077516
LKOH,D,20211126,000000,6470.0000000,6516.5000000,6335.5000000,6374.0000000,2172255
LKOH,D,20211129,000000,6510.0000000,6713.0000000,6480.0000000,6616.0000000,1799724
LKOH,D,20211130,000000,6502.0000000,6688.5000000,6418.5000000,6513.0000000,2727544
LKOH,D,20211201,000000,6600.0000000,6740.5000000,6543.0000000,6576.5000000,1738308
LKOH,D,20211202,000000,6611.5000000,6768.0000000,6558.0000000,6732.0000000,1462077
LKOH,D,20211203,000000,6751.5000000,6770.0000000,6571.5000000,6639.5000000,842978
LKOH,D,20211206,000000,6691.0000000,6740.0000000,6500.0000000,6650.0000000,1173615
LKOH,D,20211207,000000,6664.0000000,6766.5000000,6645.0000000,6720.5000000,2165695
LKOH,D,20211208,000000,6721.0000000,6784.5000000,6510.0000000,6574.5000000,2076192
LKOH,D,20211209,000000,6594.0000000,6636.0000000,6501.5000000,6619.0000000,1226511
LKOH,D,20211210,000000,6624.5000000,6673.0000000,6568.5000000,6619.5000000,675304
LKOH,D,20211213,000000,6627.5000000,6700.0000000,6352.0000000,6376.0000000,1539741
LKOH,D,20211214,000000,6399.0000000,6628.0000000,5912.5000000,6592.0000000,2086211
LKOH,D,20211215,000000,6590.0000000,6625.0000000,6447.0000000,6595.0000000,1122102
LKOH,D,20211216,000000,6606.5000000,6779.0000000,6595.0000000,6729.0000000,1752666
LKOH,D,20211217,000000,6737.5000000,6765.0000000,6603.5000000,6670.0000000,2014417
LKOH,D,20211220,000000,6344.0000000,6368.0000000,6237.0000000,6328.5000000,1720877
LKOH,D,20211221,000000,6350.0000000,6428.0000000,6285.0000000,6348.5000000,1119339
LKOH,D,20211222,000000,6368.5000000,6393.5000000,6319.5000000,6349.5000000,838708
LKOH,D,20211223,000000,6358.5000000,6380.0000000,6285.0000000,6304.5000000,665390
LKOH,D,20211224,000000,6314.0000000,6328.0000000,6220.5000000,6313.5000000,385809
LKOH,D,20211227,000000,6321.5000000,6398.5000000,6315.0000000,6397.5000000,515565
LKOH,D,20211228,000000,6395.0000000,6559.5000000,6377.0000000,6478.0000000,994519
LKOH,D,20211229,000000,6479.0000000,6525.0000000,6421.0000000,6516.0000000,842305
LKOH,D,20211230,000000,6520.0000000,6597.0000000,6480.0000000,6573.0000000,768281
LKOH,D,20220103,000000,6594.0000000,6705.5000000,6586.0000000,6683.0000000,610482
LKOH,D,20220104,000000,6688.0000000,6741.0000000,6627.0000000,6728.0000000,551237
LKOH,D,20220105,000000,6715.5000000,6755.0000000,6501.0000000,6522.0000000,972892
LKOH,D,20220106,000000,6531.0000000,6706.0000000,6459.0000000,6699.0000000,906346
LKOH,D,20220110,000000,6734.0000000,6880.0000000,6650.5000000,6775.0000000,1238043
LKOH,D,20220111,000000,6789.0000000,6850.0000000,6732.5000000,6816.0000000,926213
LKOH,D,20220112,000000,6814.5000000,6969.0000000,6770.0000000,6960.0000000,1268243
LKOH,D,20220113,000000,6927.5000000,6951.5000000,6610.0000000,6665.0000000,1767371
LKOH,D,20220114,000000,6689.0000000,6791.0000000,6469.0000000,6659.0000000,2077158
LKOH,D,20220117,000000,6670.0000000,6734.0000000,6445.0000000,6516.0000000,1581418
LKOH,D,20220118,000000,6539.0000000,6587.0000000,6132.0000000,6250.0000000,3676120
LKOH,D,20220119,000000,6245.0000000,6670.0000000,6020.0000000,6494.0000000,3237209
LKOH,D,20220120,000000,6501.0000000,6683.0000000,6324.0000000,6430.0000000,2237744
LKOH,D,20220121,000000,6400.0000000,6514.0000000,6310.0000000,6420.0000000,1939997
LKOH,D,20220124,000000,6440.0000000,6479.0000000,6078.0000000,6293.0000000,2935601
LKOH,D,20220125,000000,6287.0000000,6562.5000000,6177.5000000,6543.0000000,2081885
LKOH,D,20220126,000000,6541.0000000,6690.0000000,6405.0000000,6525.5000000,2225376
LKOH,D,20220127,000000,6494.0000000,6900.0000000,6432.0000000,6811.5000000,2116895
LKOH,D,20220128,000000,6799.5000000,6945.0000000,6755.0000000,6775.0000000,1584785
LKOH,D,20220131,000000,6808.5000000,6910.0000000,6780.0000000,6878.0000000,1296147
LKOH,D,20220201,000000,6878.0000000,7013.5000000,6826.0000000,6976.0000000,1229086
LKOH,D,20220202,000000,6976.0000000,7050.0000000,6936.0000000,7040.0000000,982949
LKOH,D,20220203,000000,7025.0000000,7030.0000000,6794.5000000,6865.5000000,1321542
LKOH,D,20220204,000000,6892.0000000,7110.0000000,6892.0000000,7010.0000000,1754004
LKOH,D,20220207,000000,7045.0000000,7060.0000000,6825.5000000,6988.0000000,976908
LKOH,D,20220208,000000,6985.0000000,7044.0000000,6938.0000000,6957.5000000,931306
LKOH,D,20220209,000000,6976.0000000,7009.0000000,6900.0000000,6973.5000000,1546898
LKOH,D,20220210,000000,6969.0000000,7084.0000000,6894.0000000,6984.5000000,1378640
LKOH,D,20220211,000000,6973.5000000,7000.0000000,6624.5000000,6707.5000000,1888800
LKOH,D,20220214,000000,6684.0000000,6885.0000000,6524.5000000,6796.0000000,1949631
LKOH,D,20220215,000000,6825.5000000,7077.5000000,6783.0000000,6979.0000000,1778842
LKOH,D,20220216,000000,7014.5000000,7068.0000000,6902.5000000,6970.0000000,1179733
LKOH,D,20220217,000000,6956.0000000,6968.0000000,6650.0000000,6733.0000000,1739893
LKOH,D,20220218,000000,6740.0000000,6832.0000000,6415.0000000,6456.5000000,1700117
LKOH,D,20220221,000000,6481.5000000,6649.0000000,5609.5000000,5810.0000000,4537902
LKOH,D,20220222,000000,5805.0000000,6050.0000000,5479.0000000,6020.0000000,5901569
LKOH,D,20220224,000000,5400.0000000,5410.5000000,3019.5000000,4650.0000000,4687087
LKOH,D,20220225,000000,4400.0000000,5360.0000000,4400.0000000,4915.0000000,2013374
LKOH,D,20220324,000000,5315.0000000,5993.0000000,5300.0000000,5525.0000000,1192903
LKOH,D,20220325,000000,5605.0000000,5761.0000000,5022.0000000,5206.0000000,870511
LKOH,D,20220328,000000,5199.5000000,5199.5000000,4915.0000000,5118.0000000,226709
LKOH,D,20220329,000000,5117.5000000,5350.0000000,4800.0000000,4922.0000000,641887
LKOH,D,20220330,000000,5049.5000000,5140.0000000,5000.0000000,5140.0000000,286603
LKOH,D,20220331,000000,5112.0000000,5680.0000000,5100.0000000,5680.0000000,459292
LKOH,D,20220401,000000,5668.5000000,5868.0000000,5450.0000000,5601.0000000,383895
LKOH,D,20220404,000000,5697.5000000,5750.0000000,5395.0000000,5557.0000000,303444
LKOH,D,20220405,000000,5575.0000000,5590.0000000,5220.0000000,5314.0000000,244086
LKOH,D,20220406,000000,5313.0000000,5514.0000000,5224.5000000,5266.0000000,194786
LKOH,D,20220407,000000,5260.0000000,5356.0000000,5240.0000000,5280.0000000,263879
LKOH,D,20220408,000000,5299.5000000,5319.5000000,5087.0000000,5226.5000000,199539
LKOH,D,20220411,000000,5224.5000000,5385.0000000,5184.0000000,5190.0000000,144355
LKOH,D,20220412,000000,5209.0000000,5250.0000000,5026.0000000,5145.0000000,219794
LKOH,D,20220413,000000,5163.0000000,5209.0000000,5056.0000000,5106.0000000,160343
LKOH,D,20220414,000000,5115.5000000,5120.0000000,4862.0000000,4879.5000000,198984
LKOH,D,20220415,000000,4879.5000000,4956.0000000,4800.0000000,4893.0000000,151138
LKOH,D,20220418,000000,4919.0000000,4948.0000000,4524.0000000,4549.0000000,407382
LKOH,D,20220419,000000,4578.0000000,4585.5000000,4108.0000000,4485.0000000,707834
LKOH,D,20220420,000000,4498.5000000,4536.0000000,4215.5000000,4310.0000000,725673
LKOH,D,20220421,000000,4331.5000000,4340.0000000,3910.0000000,3974.0000000,1217237
LKOH,D,20220422,000000,3973.5000000,4044.0000000,3682.0000000,3828.0000000,1647471
LKOH,D,20220425,000000,3829.0000000,3994.0000000,3710.5000000,3931.0000000,557049
LKOH,D,20220426,000000,3970.0000000,4587.5000000,3960.5000000,4292.0000000,1353643
LKOH,D,20220427,000000,4325.0000000,4559.0000000,4276.0000000,4550.0000000,782779
LKOH,D,20220428,000000,4559.0000000,4740.0000000,4318.0000000,4381.0000000,919349
LKOH,D,20220429,000000,4409.0000000,4717.0000000,4380.0000000,4699.5000000,863974
LKOH,D,20220504,000000,4746.0000000,4772.5000000,4526.0000000,4552.0000000,441505
LKOH,D,20220505,000000,4604.0000000,4689.5000000,4600.5000000,4675.0000000,229873
LKOH,D,20220506,000000,4690.0000000,4690.0000000,4568.0000000,4635.5000000,374899
LKOH,D,20220511,000000,4640.0000000,4699.0000000,4539.0000000,4600.0000000,241836
LKOH,D,20220512,000000,4552.0000000,4581.0000000,4325.5000000,4362.5000000,525713
LKOH,D,20220513,000000,4402.0000000,4439.0000000,4300.0000000,4380.0000000,271089
LKOH,D,20220516,000000,4381.0000000,4669.5000000,4380.5000000,4523.5000000,1135843
LKOH,D,20220517,000000,4543.0000000,4589.0000000,4400.0000000,4500.0000000,387539
LKOH,D,20220518,000000,4519.0000000,4565.0000000,4480.0000000,4483.5000000,273475
LKOH,D,20220519,000000,4485.0000000,4509.5000000,4381.5000000,4415.5000000,229444
LKOH,D,20220520,000000,4419.0000000,4449.0000000,4258.0000000,4279.0000000,304512
LKOH,D,20220523,000000,4305.0000000,4350.0000000,4031.0000000,4050.0000000,332641
LKOH,D,20220524,000000,4050.0000000,4062.5000000,3882.0000000,3942.0000000,500444
LKOH,D,20220525,000000,3996.5000000,4148.0000000,3975.0000000,4148.0000000,338692
